stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1149,1149,Font d'en Corts (parell) - Davant Alqueria Reial,C FUENTE EN CORTS 66-68 - VALÈNCIA,39.4474421892476,-0.359659108788831,,,0,
115,115,Blasco Ibáñez - República Argentina,AV BLASCO IBAÑEZ 84 (JARDÍ) - VALÈNCIA,39.4747509908169,-0.350892278224253,,,0,
1150,1150,Pintor Jacomart - Sant Doménec Savio,C PINTOR JACOMART 15 - VALÈNCIA,39.4968007778838,-0.375981946314974,,,0,
1151,1151,Centre de Salut Salvador Allende,C CONDE DE LUMIARES 4 (DAVANT) - VALÈNCIA,39.4947189568064,-0.372730301289164,,,0,
1152,1152,Camí de Montcada - Camí Alqueria de Marquet,CAMI MONCADA 341 (DAVANT) - VALÈNCIA,39.5122017279213,-0.386330821336243,,,0,
1153,1153,Velòdrom Lluís Puig,C SENDA DEL POLVORIN 32 - BENIMÀMET,39.5023067447204,-0.426394091100048,,,0,
1158,1158,Passeig Marítim - Séquia de la Cadena,PSEG PASEO MARITIMO CASABLANCA - VALÈNCIA,39.4735076472157,-0.324666459982753,,,0,
1159,1159,Hospital Malva-rosa,PSEG PASEO MARITIMO ISABEL DE VILLENA - VALÈNCIA,39.4770607415504,-0.324621536476107,,,0,
116,116,Blasco Ibáñez - Dr. Manuel Candela,AV BLASCO IBAÑEZ 104 (JARDÍ) - VALÈNCIA,39.4740450302764,-0.348583133502474,,,0,
1160,1160,Passeig Marítim - Vicent la Roda,PSEG PASEO MARITIMO DAVANT.VTE.LA RODA - VALÈNCIA,39.479031040775,-0.324629107896173,,,0,
1161,1161,Passeig Marítim - Font d'en Carrós,PSEG PASEO MARITIMO DAVANT FONT D'EN CARRÓS - VALÈNCIA,39.4812656715298,-0.324674565694566,,,0,
1162,1162,Passeig Marítim - Mendizábal,PSEG PASEO MARITIMO FINAL PASSEIG - VALÈNCIA,39.4835524413656,-0.325202401982979,,,0,
1163,1163,Isabel de Villena - Font d'en Carrós,C ISABEL DE VILLENA 127 - VALÈNCIA,39.4811581847078,-0.325800351520385,,,0,
1164,1164,Isabel de Villena - Vicent la Roda,C ISABEL DE VILLENA 89 - VALÈNCIA,39.478966067472,-0.325857514319212,,,0,
1165,1165,Centre de Salut Malva-rosa,C ISABEL DE VILLENA 43 - VALÈNCIA,39.4768458924418,-0.325827740525239,,,0,
1168,1168,Comissaria Policia - Marítim,C DOCTOR MARCOS SOPENA 1 - VALÈNCIA,39.4630941979461,-0.328610422452826,,,0,
117,117,Ramon Llull - Escultor Alfons Gabino,C RAMON LLULL 6 - VALÈNCIA,39.4751321617036,-0.347130159173962,,,0,
1170,1170,Foc - Amadeu Desfilis,C FOC  DEL 1 - VALÈNCIA,39.5000411552864,-0.394656485430091,,,0,
1175,1175,Tres Creus - Segona República Espanyola,AV TRES CRUCES 103 (CARRIL BUS) - VALÈNCIA,39.458628918607,-0.402776519236905,,,0,
1176,1176,Tres Creus - Dr. Pérez Feliu,AV TRES CRUCES 79 (CARRIL BUS) - VALÈNCIA,39.4606008311703,-0.403994744258758,,,0,
1177,1177,Tres Creus - Tres Forques,AV TRES CRUCES CANTÓ T.FORQUES (CARRIL BUS) - VALÈNCIA,39.4628028774196,-0.405469889211303,,,0,
1183,1183,General Avilés - Dr. Nicasi Benlloch,AV GENERAL AVILES 10 - VALÈNCIA,39.4880372439621,-0.391460958144647,,,0,
1184,1184,General Avilés - Miguel Servet (parell),AV GENERAL AVILES 28 - VALÈNCIA,39.4869233323177,-0.394024093706856,,,0,
1190,1190,Tres Creus - dels Hostalers,AV TRES CRUCES 46 (CARRIL BUS) - VALÈNCIA,39.4602492832839,-0.40391266475757,,,0,
1199,1199,Comte de Torrefiel - Escultor Piquer,C CONDE DE TORREFIEL 6 - VALÈNCIA,39.4921129649698,-0.375465314857868,,,0,
12,12,Cabanyal,C DOCTOR LLUCH 229 (DAVANT) - VALÈNCIA,39.4716646440523,-0.327649534855141,,,0,
1210,1210,Blasco Ibáñez - Serradora,AV BLASCO IBAÑEZ ILLETA RENFE - VALÈNCIA,39.4706486517337,-0.335619602756348,,,0,
1211,1211,Blasco Ibáñez (imparell) - José María Haro,AV BLASCO IBAÑEZ 173 - VALÈNCIA,39.4709760930606,-0.336524679588146,,,0,
1217,1217,Dr. Peset Aleixandre - Felip Rinaldi,AV DOCTOR PESET ALEIXANDRE 24 - VALÈNCIA,39.4917369384428,-0.37611827419841,,,0,
1218,1218,Palau de l'Exposició,C AMADEO DE SABOYA 14 - VALÈNCIA,39.4736114613923,-0.362097963649788,,,0,
1223,1223,Hospital General - Urgències,AV TRES CRUCES 8 (CARRIL BUS) - VALÈNCIA,39.4669755794595,-0.406336571233835,,,0,
1225,1225,Camí nou de Picanya - Arquitecte Segura de Lago,CAMI PICAñA (CNO. NUEVO) 19 - VALÈNCIA,39.4563032183764,-0.40401675185113,,,0,
1229,1229,Orriols - Sant Miquel dels Reis,C SANTIAGO RUSIÑOL SANT JOAN BOSCO - VALÈNCIA,39.4969300144821,-0.368873812617634,,,0,
1231,1231,Dolores Marqués - Benicarló,C DOLORES MARQUES 1 - VALÈNCIA,39.4856744127312,-0.363394627099607,,,0,
1232,1232,Dolores Marqués - Reverend José María Pinazo,C DOLORES MARQUES 13 - VALÈNCIA,39.4866716920499,-0.362841261483534,,,0,
1233,1233,Dolores Marqués - Assagador d'Alboraia,C DOLORES MARQUES 27 - VALÈNCIA,39.4882820961862,-0.362043086599176,,,0,
1239,1239,Primat Reig - Xàbia,AV PRIMADO REIG 187 (DAVANT) - VALÈNCIA,39.4790131974112,-0.356596088313404,,,0,
124,124,Blasco Ibáñez - José María Orense,AV BLASCO IBAÑEZ 149 - VALÈNCIA,39.4719838613564,-0.339945288152376,,,0,
1240,1240,Lliri Blau - Mestre Ventura Pascual,C LLIRI BLAU S/N - VALÈNCIA,39.4869854203682,-0.357136998148844,,,0,
1242,1242,Mediterrània - Dr. Lluch,C MEDITERRANEO 32 - VALÈNCIA,39.4675715434256,-0.328567471120793,,,0,
1243,1243,Mediterrània - Reina,C MEDITERRANEO 21 - VALÈNCIA,39.4677961994136,-0.329061915174019,,,0,
1245,1245,Pont de l'Exposició,PSEG ALAMEDA DAVANT P.VALDÉS) - VALÈNCIA,39.4738150450158,-0.364430715660363,,,0,
125,125,Blasco Ibáñez - Actor Enrique Rambal,AV BLASCO IBAÑEZ 127 - VALÈNCIA,39.472804470575,-0.342582993937016,,,0,
1254,1254,Cid - Aiora,AV CID 11 - VALÈNCIA,39.4672339790557,-0.392311312706386,,,0,
126,126,Blasco Ibáñez - Hondures,AV BLASCO IBAÑEZ 97 - VALÈNCIA,39.4737710406095,-0.345881377138186,,,0,
1263,1263,Comte de Salvatierra - Colón,C CONDE DE SALVATIERRA 3 - VALÈNCIA,39.4710853202928,-0.369079855609523,,,0,
1265,1265,Conselleria d'Educació,AV CAMPANAR CONSELLERIA - VALÈNCIA,39.4837259160201,-0.391946766435601,,,0,
1266,1266,Antic Hospital La Fe,AV CAMPANAR 21 - VALÈNCIA,39.4841128036789,-0.391507092917777,,,0,
1268,1268,Hospital General,AV TRES CRUCES 2 (CARRIL BUS) - VALÈNCIA,39.4686432830262,-0.406562441317259,,,0,
127,127,Blasco Ibáñez - Actriu Encarna Máñez,AV BLASCO IBAÑEZ 126 - VALÈNCIA,39.4729880496129,-0.346215883069614,,,0,
1272,1272,Monestir de Poblet - Centre Comercial,AV PIO XII 51 - VALÈNCIA,39.4850414896994,-0.396103608907428,,,0,
1274,1274,Mercat de Castilla,AV TRES CRUCES 10 - VALÈNCIA,39.4660043095697,-0.406379788140296,,,0,
1277,1277,Primat Reig - Ministre Luis Mayans,AV PRIMADO REIG 18 - VALÈNCIA,39.4895413240156,-0.370742579627545,,,0,
1278,1278,Àngel Guimerà - Ferran el Catòlic,C ANGEL GUIMERA 10 - VALÈNCIA,39.4704078527298,-0.384448710174855,,,0,
128,128,Blasco Ibáñez - Músic Ginés,AV BLASCO IBAÑEZ 158 - VALÈNCIA,39.4720494896668,-0.342960938908552,,,0,
1280,1280,Pintor Jacomart - Alcanyís,C PINTOR JACOMART 57 - VALÈNCIA,39.4958890662139,-0.379947390974828,,,0,
