entityID,entityType,dayType<TextUnrestricted>,sourceRef<TextUnrestricted>,location<geo:json>,occupation<Number>,trend<TextUnrestricted>,name<TextUnrestricted>,zone<TextUnrestricted>,occupationpercent<Number>,capacity<Number>,hour<Number>,sceneRef<TextUnrestricted>,TimeInstant<DateTime>
parking_8,OffStreetParking,Laborable,parking_8,,,,,,73.59,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Laborable,parking_77,,,,,,80.47,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Sabado,parking_78,,,,,,29.41,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Domingo,parking_75,,,,,,90.95,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Laborable,parking_79,,,,,,75.86,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Laborable,parking_77,,,,,,45.62,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Domingo,parking_5,,,,,,67.2,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Laborable,parking_5,,,,,,40.47,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Sabado,parking_78,,,,,,37.17,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Domingo,parking_13,,,,,,69.25,,,N/A,2024-05-21 00:00:00+00:00
